Credibility Code,Sample Size Code,Precision Code,Abundance Code,Significance,AOU,Region,Species,Region Name,Model,N Routes,Trend,2.5%CI,97.5%CI,Relative Abundance
Y,,,Y,,4180,ARI,Common Poorwill,Arizona,Dh,29,-1.197,-4.233,1.39,0.225
R,,,R,,4180,CAL,Common Poorwill,California,Dh,51,-0.34,-2.49,1.806,0.069
R,,,R,,4180,COL,Common Poorwill,Colorado,Dh,29,0.471,-1.729,3.022,0.048
R,Y,Y,R,,4180,IDA,Common Poorwill,Idaho,Dh,6,-0.56,-5.005,2.787,0.066
R,R,Y,R,,4180,KAN,Common Poorwill,Kansas,Dh,2,-0.316,-5.667,4.249,0.014
Y,,,Y,,4180,NEV,Common Poorwill,Nevada,Dh,16,0.024,-2.639,3.229,0.228
Y,,,Y,,4180,NM,Common Poorwill,New Mexico,Dh,29,0.569,-1.092,2.337,0.154
R,R,Y,R,,4180,OKL,Common Poorwill,Oklahoma,Dh,3,-0.199,-4.592,3.862,0.043
R,,,R,,4180,ORE,Common Poorwill,Oregon,Dh,22,0.385,-1.681,2.62,0.091
R,Y,Y,R,,4180,SD,Common Poorwill,South Dakota,Dh,6,-0.113,-3.992,4.516,0.025
Y,,,Y,,4180,TEX,Common Poorwill,Texas,Dh,58,-1.305,-3.15,0.247,0.12
R,,,R,,4180,UT,Common Poorwill,Utah,Dh,35,0.782,-1.385,3.424,0.076
R,Y,Y,R,,4180,WAS,Common Poorwill,Washington,Dh,7,-0.18,-3.603,3.137,0.042
R,,,R,,4180,WYO,Common Poorwill,Wyoming,Dh,22,1.648,-0.562,4.774,0.057
Y,,,Y,,4180,US,Common Poorwill,United States,Dh,315,-0.164,-1.042,0.839,0.11
Y,,,Y,,4180,SUR,Common Poorwill,Survey-wide,Dh,315,-0.164,-1.042,0.839,0.11
Y,,,Y,,4180,US1,Common Poorwill,United States (core),Dh,315,-0.164,-1.042,0.839,0.11
Y,,,Y,,4180,SU1,Common Poorwill,Survey-wide (core),Dh,315,-0.164,-1.042,0.839,0.11
Y,,,Y,,4160,S19,Chuck-will's-widow,Central Mixed Grass Prairie,Dh,17,-0.935,-2.891,1.062,0.395
Y,Y,,Y,,4160,S20,Chuck-will's-widow,Edwards Plateau,Dh,13,-1.74,-3.885,0.372,0.983
Y,,,Y,2,4160,S21,Chuck-will's-widow,Oaks and Prairies,Dh,41,-1.485,-2.834,-0.217,0.648
Y,,,Y,2,4160,S22,Chuck-will's-widow,Eastern Tallgrass Prairie,Dh,24,-3.797,-5.828,-1.969,0.168
Y,,,Y,2,4160,S24,Chuck-will's-widow,Central Hardwoods,Dh,74,-1.207,-2.308,-0.029,0.681
,,,,2,4160,S25,Chuck-will's-widow,West Gulf Coastal Plain/ouachitas,Dh,74,-1.25,-2.192,-0.303,1.482
Y,Y,,Y,,4160,S26,Chuck-will's-widow,Mississippi Alluvial Valley,Dh,12,-2.623,-5.541,0.05,0.452
,,,,2,4160,S27,Chuck-will's-widow,Southeastern Coastal Plain,Dh,235,-1.49,-2.032,-0.95,1.522
Y,,,Y,2,4160,S28,Chuck-will's-widow,Appalachian Mountains,Dh,39,-2.086,-3.488,-0.594,0.372
Y,,,Y,2,4160,S29,Chuck-will's-widow,Piedmont,Dh,78,-1.436,-2.666,-0.155,0.71
Y,,,Y,,4160,S30,Chuck-will's-widow,New England/mid-Atlantic Coast,Dh,23,0.268,-1.205,1.805,0.576
,,,,2,4160,S31,Chuck-will's-widow,Peninsular Florida,Dh,44,-4.315,-5.713,-2.968,1.764
R,R,R,R,,4160,S37,Chuck-will's-widow,Gulf Coastal Prairie,Dh,3,-1.119,-6.701,3.41,0.025
,,,,2,4160,ALA,Chuck-will's-widow,Alabama,Dh,89,-1.284,-2.156,-0.372,1.221
,,,,,4160,ARK,Chuck-will's-widow,Arkansas,Dh,38,-0.888,-2.022,0.333,1.874
R,R,Y,Y,,4160,DEL,Chuck-will's-widow,Delaware,Dh,4,0.475,-3.349,4.523,0.285
,,,,2,4160,FLA,Chuck-will's-widow,Florida,Dh,78,-2.692,-3.675,-1.755,2.351
Y,,,Y,2,4160,GA,Chuck-will's-widow,Georgia,Dh,82,-2.634,-3.63,-1.587,0.997
R,R,R,R,,4160,ILL,Chuck-will's-widow,Illinois,Dh,2,-1.439,-6.796,4.293,0.046
R,R,Y,R,,4160,IND,Chuck-will's-widow,Indiana,Dh,3,-3.589,-9.38,0.283,0.083
Y,,,Y,2,4160,KAN,Chuck-will's-widow,Kansas,Dh,16,-3.811,-7.159,-1.291,0.113
Y,Y,,Y,2,4160,KY,Chuck-will's-widow,Kentucky,Dh,13,-3.337,-5.158,-1.548,0.142
Y,,,Y,,4160,LA,Chuck-will's-widow,Louisiana,Dh,27,-0.628,-2.568,1.31,0.494
Y,,,Y,,4160,MD,Chuck-will's-widow,Maryland,Dh,16,0.065,-1.47,1.674,0.674
Y,,,Y,,4160,MIS,Chuck-will's-widow,Mississippi,Dh,24,-0.589,-2.176,1.047,0.806
Y,,,Y,2,4160,MO,Chuck-will's-widow,Missouri,Dh,41,-3.062,-4.562,-1.578,0.445
Y,,,Y,2,4160,NC,Chuck-will's-widow,North Carolina,Dh,54,-1.077,-1.955,-0.239,0.972
,,,,2,4160,OKL,Chuck-will's-widow,Oklahoma,Dh,39,-1.377,-2.592,-0.198,1.1
,,,,,4160,SC,Chuck-will's-widow,South Carolina,Dh,41,-1.129,-2.41,0.197,2.098
Y,,,Y,,4160,TEN,Chuck-will's-widow,Tennessee,Dh,26,-1.273,-2.892,0.331,0.596
Y,,,Y,2,4160,TEX,Chuck-will's-widow,Texas,Dh,67,-1.481,-2.557,-0.411,0.693
Y,,,Y,2,4160,VA,Chuck-will's-widow,Virginia,Dh,17,-2.452,-5.172,-0.157,0.201
Y,,,Y,2,4160,US,Chuck-will's-widow,United States,Dh,677,-1.681,-2.057,-1.326,0.909
Y,,,Y,2,4160,SUR,Chuck-will's-widow,Survey-wide,Dh,677,-1.681,-2.057,-1.326,0.909
Y,,,Y,2,4160,US1,Chuck-will's-widow,United States (core),Dh,677,-1.681,-2.057,-1.326,0.909
Y,,,Y,2,4160,SU1,Chuck-will's-widow,Survey-wide (core),Dh,677,-1.681,-2.057,-1.326,0.909
R,R,R,R,,4171,S06,Eastern Whip-poor-will,Boreal Taiga Plains,Dh,4,1.588,-3.541,7.434,0.065
R,Y,Y,R,,4171,S08,Eastern Whip-poor-will,Boreal Softwood Shield,Dh,9,0.744,-3.273,5.189,0.039
R,R,R,R,,4171,S11,Eastern Whip-poor-will,Prairie Potholes,Dh,4,1.076,-3.808,6.586,0.027
R,,,R,,4171,S12,Eastern Whip-poor-will,Boreal Hardwood Transition,Dh,77,-0.99,-2.791,0.878,0.059
R,Y,Y,R,,4171,S13,Eastern Whip-poor-will,Lower Great Lakes/St. Lawrence Plain,Dh,11,-0.041,-3.033,3.243,0.024
R,,,R,,4171,S14,Eastern Whip-poor-will,Atlantic Northern Forest,Dh,23,-2.788,-5.58,0.408,0.03
R,R,R,R,,4171,S21,Eastern Whip-poor-will,Oaks and Prairies,Dh,4,-2.875,-7.851,2.304,0.012
R,,,R,2,4171,S22,Eastern Whip-poor-will,Eastern Tallgrass Prairie,Dh,40,-5.767,-8.114,-3.338,0.067
R,,Y,R,2,4171,S23,Eastern Whip-poor-will,Prairie Hardwood Transition,Dh,21,-4.288,-7.325,-1.154,0.023
Y,,,Y,2,4171,S24,Eastern Whip-poor-will,Central Hardwoods,Dh,73,-3.259,-4.609,-1.928,0.72
Y,Y,Y,Y,,4171,S25,Eastern Whip-poor-will,West Gulf Coastal Plain/ouachitas,Dh,13,-1.65,-5.37,1.942,0.25
Y,,,Y,2,4171,S27,Eastern Whip-poor-will,Southeastern Coastal Plain,Dh,70,-4.434,-6.292,-2.56,0.144
Y,,,Y,,4171,S28,Eastern Whip-poor-will,Appalachian Mountains,Dh,103,-0.247,-1.771,1.334,0.153
Y,,,Y,2,4171,S29,Eastern Whip-poor-will,Piedmont,Dh,70,-2.502,-4.043,-0.946,0.396
Y,,,Y,2,4171,S30,Eastern Whip-poor-will,New England/mid-Atlantic Coast,Dh,39,-3.079,-5.308,-0.742,0.161
R,,,R,2,4171,ALA,Eastern Whip-poor-will,Alabama,Dh,20,-3.183,-6.005,-0.344,0.057
Y,,,Y,,4171,ARK,Eastern Whip-poor-will,Arkansas,Dh,17,-2.599,-5.353,0.117,0.684
R,R,R,R,,4171,CON,Eastern Whip-poor-will,Connecticut,Dh,2,0.798,-4.182,6.41,0.062
R,Y,R,R,2,4171,DEL,Eastern Whip-poor-will,Delaware,Dh,5,-6.553,-12.438,-0.92,0.094
Y,,,Y,2,4171,GA,Eastern Whip-poor-will,Georgia,Dh,29,-3.886,-6.305,-1.55,0.14
R,R,R,R,,4171,IA,Eastern Whip-poor-will,Iowa,Dh,2,-4.079,-9.696,1.089,0.032
R,,Y,R,2,4171,ILL,Eastern Whip-poor-will,Illinois,Dh,17,-5.115,-8.334,-2.077,0.049
R,Y,,R,2,4171,IND,Eastern Whip-poor-will,Indiana,Dh,11,-4.355,-7.279,-1.632,0.068
R,R,R,R,,4171,KAN,Eastern Whip-poor-will,Kansas,Dh,4,-5.455,-12.17,0.723,0.014
Y,,,Y,,4171,KY,Eastern Whip-poor-will,Kentucky,Dh,16,-2.22,-5.028,0.595,0.291
R,,Y,R,,4171,MAN,Eastern Whip-poor-will,Manitoba,Dh,15,0.812,-2.832,4.863,0.059
R,Y,R,R,,4171,MAS,Eastern Whip-poor-will,Massachusetts,Dh,5,-1.185,-6.278,3.756,0.045
Y,,,Y,2,4171,MD,Eastern Whip-poor-will,Maryland,Dh,23,-3.767,-6.167,-1.293,0.1
R,Y,R,R,,4171,ME,Eastern Whip-poor-will,Maine,Dh,7,-3.925,-9.696,1.489,0.012
R,,,R,,4171,MIC,Eastern Whip-poor-will,Michigan,Dh,23,-1.41,-4.204,1.448,0.1
R,,Y,R,,4171,MIN,Eastern Whip-poor-will,Minnesota,Dh,17,-1.175,-4.804,2.517,0.051
R,Y,Y,R,2,4171,MIS,Eastern Whip-poor-will,Mississippi,Dh,6,-4.872,-9.363,-1.014,0.054
Y,,,Y,2,4171,MO,Eastern Whip-poor-will,Missouri,Dh,53,-3.765,-5.435,-2.211,0.828
R,Y,R,R,,4171,NB,Eastern Whip-poor-will,New Brunswick,Dh,5,-4.609,-10.561,0.679,0.036
Y,,,Y,2,4171,NC,Eastern Whip-poor-will,North Carolina,Dh,50,-4.765,-6.702,-2.891,0.24
R,Y,Y,R,,4171,NH,Eastern Whip-poor-will,New Hampshire,Dh,8,0.248,-3.354,4.313,0.05
Y,Y,Y,Y,2,4171,NJ,Eastern Whip-poor-will,New Jersey,Dh,8,-4.041,-8.152,-0.019,0.494
R,Y,Y,R,,4171,NY,Eastern Whip-poor-will,New York,Dh,5,-1.209,-5.515,3,0.024
Y,Y,Y,Y,,4171,OHI,Eastern Whip-poor-will,Ohio,Dh,8,-0.361,-4.361,3.978,0.137
R,Y,Y,R,,4171,OKL,Eastern Whip-poor-will,Oklahoma,Dh,8,-1.214,-5.346,3.634,0.093
R,,Y,R,,4171,ONT,Eastern Whip-poor-will,Ontario,Dh,29,0.766,-2.506,4.427,0.026
R,,Y,R,1,4171,PA,Eastern Whip-poor-will,Pennsylvania,Dh,20,3.665,0.553,6.744,0.034
R,Y,Y,R,,4171,QUE,Eastern Whip-poor-will,Quebec,Dh,11,-0.077,-4.107,4.116,0.019
R,R,R,Y,,4171,RI,Eastern Whip-poor-will,Rhode Island,Dh,1,-1.266,-7.586,5.113,0.178
Y,,,Y,2,4171,SC,Eastern Whip-poor-will,South Carolina,Dh,24,-3.206,-5.875,-0.589,0.531
Y,,,Y,,4171,TEN,Eastern Whip-poor-will,Tennessee,Dh,28,-0.798,-3.17,1.402,0.313
R,R,R,R,,4171,TEX,Eastern Whip-poor-will,Texas,Dh,0,-2.676,-10.491,4.481,0.003
Y,,,Y,2,4171,VA,Eastern Whip-poor-will,Virginia,Dh,34,-2.434,-4.536,-0.448,0.278
R,R,R,R,,4171,VT,Eastern Whip-poor-will,Vermont,Dh,1,-3.308,-10.783,3.197,0.009
R,,,R,2,4171,WIS,Eastern Whip-poor-will,Wisconsin,Dh,29,-3.873,-6.484,-1.365,0.046
R,,,R,,4171,WV,Eastern Whip-poor-will,West Virginia,Dh,20,-2.096,-5.109,0.789,0.085
R,,,R,,4171,CAN,Eastern Whip-poor-will,Canada,Dh,60,0.601,-1.632,3.135,0.038
Y,,,Y,2,4171,US,Eastern Whip-poor-will,United States,Dh,501,-2.694,-3.394,-2.004,0.182
Y,,,Y,2,4171,SUR,Eastern Whip-poor-will,Survey-wide,Dh,561,-2.384,-3.042,-1.707,0.134
R,,,R,,4171,CA1,Eastern Whip-poor-will,Canada (core),Dh,60,0.601,-1.632,3.135,0.038
Y,,,Y,2,4171,US1,Eastern Whip-poor-will,United States (core),Dh,501,-2.694,-3.394,-2.004,0.182
Y,,,Y,2,4171,SU1,Eastern Whip-poor-will,Survey-wide (core),Dh,561,-2.384,-3.042,-1.707,0.134
R,,R,,,4220,S05,Black Swift,Northern Pacific Rainforest,D,36,-0.954,-5.841,4.477,7.342
Y,,Y,,,4220,S09,Black Swift,Great Basin,D,18,-4.402,-9.497,0.378,1.172
R,,R,Y,,4220,S10,Black Swift,Northern Rockies,D,20,-3.507,-9.92,2.473,0.675
R,Y,R,Y,,4220,S15,Black Swift,Sierra Nevada,D,5,-3.37,-13.121,4.234,0.281
R,R,R,R,,4220,S16,Black Swift,Southern Rockies/Colorado Plateau,D,3,-0.234,-8.465,8.466,0.081
R,Y,R,Y,,4220,S32,Black Swift,Coastal California,D,9,-3.35,-10.433,2.838,0.248
Y,,Y,,,4220,BC,Black Swift,British Columbia,D,53,-1.333,-5.74,3.399,3.502
R,,R,Y,,4220,CAL,Black Swift,California,D,14,-3.036,-9.065,2.279,0.279
R,R,R,R,,4220,COL,Black Swift,Colorado,D,3,-0.234,-8.465,8.466,0.081
R,R,R,Y,,4220,IDA,Black Swift,Idaho,D,2,-5.159,-14.414,2.069,0.218
Y,,Y,,,4220,WAS,Black Swift,Washington,D,19,-3.702,-8.527,0.813,1.096
Y,,Y,,,4220,CAN,Black Swift,Canada,D,53,-1.333,-5.74,3.399,3.502
Y,,Y,Y,,4220,US,Black Swift,United States,D,38,-3.192,-6.785,0.321,0.464
Y,,Y,,,4220,SUR,Black Swift,Survey-wide,D,91,-1.522,-5.334,2.794,2.039
Y,,Y,,,4220,CA1,Black Swift,Canada (core),D,53,-1.333,-5.74,3.399,3.502
Y,,Y,Y,,4220,US1,Black Swift,United States (core),D,38,-3.192,-6.785,0.321,0.464
Y,,Y,,,4220,SU1,Black Swift,Survey-wide (core),D,91,-1.522,-5.334,2.794,2.039
R,R,Y,R,,4230,S08,Chimney Swift,Boreal Softwood Shield,D,0,-1.725,-6.278,2.475,0.011
Y,,,Y,2,4230,S11,Chimney Swift,Prairie Potholes,D,65,-2.221,-3.486,-0.991,0.531
Y,,,Y,2,4230,S12,Chimney Swift,Boreal Hardwood Transition,D,130,-3.351,-4.339,-2.36,0.252
,,,,2,4230,S13,Chimney Swift,Lower Great Lakes/St. Lawrence Plain,D,137,-2.551,-3.465,-1.623,4.452
Y,,,Y,2,4230,S14,Chimney Swift,Atlantic Northern Forest,D,189,-2.202,-2.926,-1.452,0.793
Y,,,Y,,4230,S18,Chimney Swift,Shortgrass Prairie,D,30,-0.49,-2.172,1.193,0.221
,,,,2,4230,S19,Chimney Swift,Central Mixed Grass Prairie,D,104,-3.406,-4.396,-2.415,1.238
,,,,2,4230,S20,Chimney Swift,Edwards Plateau,D,17,-3.469,-5.404,-1.564,1.367
,,,,2,4230,S21,Chimney Swift,Oaks and Prairies,D,66,-5.451,-6.524,-4.42,3.345
,,,,2,4230,S22,Chimney Swift,Eastern Tallgrass Prairie,D,254,-4.604,-5.089,-4.122,6.387
,,,,2,4230,S23,Chimney Swift,Prairie Hardwood Transition,D,135,-1.949,-2.635,-1.244,4.923
,,,,2,4230,S24,Chimney Swift,Central Hardwoods,D,143,-4.703,-5.289,-4.103,8.404
,,,,2,4230,S25,Chimney Swift,West Gulf Coastal Plain/ouachitas,D,89,-4.342,-5.243,-3.454,5.853
,,,,2,4230,S26,Chimney Swift,Mississippi Alluvial Valley,D,52,-3.286,-4.37,-2.216,5.9
,,,,2,4230,S27,Chimney Swift,Southeastern Coastal Plain,D,280,-4.021,-4.471,-3.568,10.538
,,,,2,4230,S28,Chimney Swift,Appalachian Mountains,D,300,-2.934,-3.397,-2.477,9.348
,,,,2,4230,S29,Chimney Swift,Piedmont,D,150,-3.553,-4.156,-2.958,18.336
,,,,2,4230,S30,Chimney Swift,New England/mid-Atlantic Coast,D,125,-1.535,-2.198,-0.848,7.683
,,,,2,4230,S31,Chimney Swift,Peninsular Florida,D,42,-5.646,-7.116,-4.199,2.707
Y,,,Y,,4230,S36,Chimney Swift,Tamaulipan Brushlands,D,22,-0.232,-2.55,2.296,0.777
,,,,2,4230,S37,Chimney Swift,Gulf Coastal Prairie,D,37,-4.145,-5.882,-2.536,1.913
,,,,2,4230,ALA,Chimney Swift,Alabama,D,100,-4.808,-5.523,-4.101,12.371
,,,,2,4230,ARK,Chimney Swift,Arkansas,D,51,-3.25,-4.312,-2.179,4.692
Y,Y,Y,Y,,4230,COL,Chimney Swift,Colorado,D,8,-0.601,-3.806,2.474,0.117
,,,,,4230,CON,Chimney Swift,Connecticut,D,17,-0.777,-2.503,0.968,7.513
,,,,,4230,DEL,Chimney Swift,Delaware,D,14,-1.304,-3.137,0.595,7.088
,,,,2,4230,FLA,Chimney Swift,Florida,D,77,-4.738,-5.721,-3.739,3.851
,,,,2,4230,GA,Chimney Swift,Georgia,D,102,-4.21,-4.949,-3.492,16.058
,,,,2,4230,IA,Chimney Swift,Iowa,D,36,-3.995,-5.344,-2.637,4.172
,,,,2,4230,ILL,Chimney Swift,Illinois,D,104,-5.075,-5.752,-4.403,10.027
,,,,2,4230,IND,Chimney Swift,Indiana,D,63,-3.704,-4.587,-2.838,10.601
,,,,2,4230,KAN,Chimney Swift,Kansas,D,59,-5.564,-6.809,-4.397,1.465
,,,,2,4230,KY,Chimney Swift,Kentucky,D,48,-4.458,-5.483,-3.406,10.085
,,,,2,4230,LA,Chimney Swift,Louisiana,D,77,-3.514,-4.483,-2.529,6.343
R,Y,Y,R,,4230,MAN,Chimney Swift,Manitoba,D,6,2.058,-1.307,6.024,0.025
,,,,2,4230,MAS,Chimney Swift,Massachusetts,D,28,-1.949,-3.351,-0.516,6.572
,,,,2,4230,MD,Chimney Swift,Maryland,D,67,-2.52,-3.283,-1.721,8.922
,,,,2,4230,ME,Chimney Swift,Maine,D,59,-2.936,-4.526,-1.317,1.06
,,,,2,4230,MIC,Chimney Swift,Michigan,D,67,-1.435,-2.568,-0.313,1.614
,,,,2,4230,MIN,Chimney Swift,Minnesota,D,59,-2.026,-3.187,-0.849,1.126
,,,,2,4230,MIS,Chimney Swift,Mississippi,D,44,-3.391,-4.655,-2.153,7.796
,,,,2,4230,MO,Chimney Swift,Missouri,D,82,-4.895,-5.844,-3.933,4.736
Y,,,Y,,4230,NB,Chimney Swift,New Brunswick,D,26,-1.246,-3.246,0.826,0.284
,,,,2,4230,NC,Chimney Swift,North Carolina,D,86,-3.306,-4.063,-2.559,17.594
Y,Y,,Y,,4230,ND,Chimney Swift,North Dakota,D,11,0.529,-2.441,3.392,0.177
,,,,2,4230,NEB,Chimney Swift,Nebraska,D,51,-2.511,-3.701,-1.326,1.398
,,,,2,4230,NH,Chimney Swift,New Hampshire,D,24,-1.772,-2.962,-0.545,5.945
,,,,,4230,NJ,Chimney Swift,New Jersey,D,31,0.863,-0.358,2.132,6.32
Y,,,Y,,4230,NS,Chimney Swift,Nova Scotia,D,21,-0.454,-2.632,1.768,0.161
,,,,2,4230,NY,Chimney Swift,New York,D,106,-1.49,-2.346,-0.652,2.124
,,,,2,4230,OHI,Chimney Swift,Ohio,D,67,-3.222,-4.005,-2.429,17.999
,,,,2,4230,OKL,Chimney Swift,Oklahoma,D,52,-3.362,-4.608,-1.992,1.83
R,,,R,2,4230,ONT,Chimney Swift,Ontario,D,72,-5.765,-7.388,-4.132,0.085
,,,,2,4230,PA,Chimney Swift,Pennsylvania,D,108,-1.738,-2.429,-1.053,8.101
Y,,,Y,2,4230,QUE,Chimney Swift,Quebec,D,58,-1.596,-2.908,-0.295,0.114
R,R,Y,,,4230,RI,Chimney Swift,Rhode Island,D,4,2.127,-1.196,6.061,7.626
,,,,2,4230,SC,Chimney Swift,South Carolina,D,42,-4.407,-5.557,-3.306,14.49
Y,Y,Y,Y,2,4230,SD,Chimney Swift,South Dakota,D,10,-3.187,-6.704,-0.142,0.142
,,,,2,4230,TEN,Chimney Swift,Tennessee,D,44,-4.312,-5.225,-3.397,10.403
,,,,2,4230,TEX,Chimney Swift,Texas,D,166,-4.703,-5.471,-3.93,2.416
,,,,2,4230,VA,Chimney Swift,Virginia,D,54,-2.824,-3.72,-1.915,8.359
,,,,2,4230,VT,Chimney Swift,Vermont,D,23,-2.77,-4.511,-1.032,1.801
,,,,2,4230,WIS,Chimney Swift,Wisconsin,D,90,-2.356,-3.251,-1.446,3.363
,,,,2,4230,WV,Chimney Swift,West Virginia,D,53,-3.649,-4.756,-2.553,5.372
Y,,,Y,2,4230,CAN,Chimney Swift,Canada,D,183,-2.246,-3.117,-1.381,0.116
,,,,2,4230,US,Chimney Swift,United States,D,2184,-3.693,-3.883,-3.497,5.548
,,,,2,4230,SUR,Chimney Swift,Survey-wide,D,2367,-3.681,-3.871,-3.488,4.385
Y,,,Y,2,4230,CA1,Chimney Swift,Canada (core),D,183,-2.246,-3.117,-1.381,0.116
,,,,2,4230,US1,Chimney Swift,United States (core),D,2184,-3.693,-3.883,-3.497,5.548
,,,,2,4230,SU1,Chimney Swift,Survey-wide (core),D,2367,-3.681,-3.871,-3.488,4.385
Y,,,Y,,4240,S05,Vaux's Swift,Northern Pacific Rainforest,Dh,101,-0.074,-1.385,1.582,0.891
Y,,,Y,,4240,S09,Vaux's Swift,Great Basin,Dh,58,-0.247,-1.862,1.423,0.585
Y,,,Y,2,4240,S10,Vaux's Swift,Northern Rockies,Dh,68,-3.172,-5.568,-1.103,0.297
R,Y,Y,R,,4240,S15,Vaux's Swift,Sierra Nevada,Dh,11,-1.446,-6.016,1.503,0.098
R,Y,Y,R,,4240,S32,Vaux's Swift,Coastal California,Dh,12,0.422,-2.428,3.872,0.034
R,R,Y,R,,4240,AK,Vaux's Swift,Alaska,Dh,4,-0.527,-5.525,3.647,0.042
Y,,,Y,,4240,BC,Vaux's Swift,British Columbia,Dh,54,-0.49,-3.14,1.978,0.386
Y,,,Y,,4240,CAL,Vaux's Swift,California,Dh,44,-1.081,-3.538,1.005,0.235
Y,,Y,Y,2,4240,IDA,Vaux's Swift,Idaho,Dh,15,-5.394,-10.089,-1.926,0.456
R,Y,Y,R,,4240,MON,Vaux's Swift,Montana,Dh,10,-0.589,-4.129,2.452,0.073
,,,,2,4240,ORE,Vaux's Swift,Oregon,Dh,65,-1.696,-3.421,-0.094,1.025
,,,,,4240,WAS,Vaux's Swift,Washington,Dh,58,0.311,-1.069,2.079,1.298
Y,,,Y,,4240,CAN,Vaux's Swift,Canada,Dh,54,-0.49,-3.14,1.978,0.386
Y,,,Y,2,4240,US,Vaux's Swift,United States,Dh,196,-1.133,-2.178,-0.123,0.557
Y,,,Y,,4240,SUR,Vaux's Swift,Survey-wide,Dh,250,-0.915,-2.028,0.149,0.498
Y,,,Y,,4240,CA1,Vaux's Swift,Canada (core),Dh,54,-0.49,-3.14,1.978,0.386
Y,,,Y,2,4240,US1,Vaux's Swift,United States (core),Dh,192,-1.14,-2.195,-0.122,0.631
Y,,,Y,,4240,SU1,Vaux's Swift,Survey-wide (core),Dh,246,-0.92,-2.043,0.15,0.538
R,R,R,Y,1,4250,S05,White-throated Swift,Northern Pacific Rainforest,Dh,4,5.819,0.134,12.708,0.212
Y,,,Y,,4250,S09,White-throated Swift,Great Basin,Dh,37,-1.193,-3.856,1.919,0.563
Y,,Y,Y,,4250,S10,White-throated Swift,Northern Rockies,Dh,22,1.531,-2.176,6.311,0.322
Y,,Y,,,4250,S15,White-throated Swift,Sierra Nevada,Dh,14,2.901,-1.098,7.791,6.152
,,,,2,4250,S16,White-throated Swift,Southern Rockies/Colorado Plateau,Dh,119,-2.196,-4.181,-0.217,3.919
Y,,Y,,,4250,S17,White-throated Swift,Badlands and Prairies,Dh,17,-0.852,-4.46,2.756,3.078
,,,,,4250,S32,White-throated Swift,Coastal California,Dh,56,-0.595,-3.319,2.088,2.917
,,,,2,4250,S33,White-throated Swift,Sonoran and Mojave Deserts,Dh,44,-3.242,-6.334,-0.425,4.158
Y,,Y,,,4250,S34,White-throated Swift,Sierra Madre Occidental,Dh,18,-1.622,-5.155,1.925,4.935
Y,,Y,Y,,4250,S35,White-throated Swift,Chihuahuan Desert,Dh,18,-2.022,-6.219,2.167,0.559
,,,,,4250,ARI,White-throated Swift,Arizona,Dh,42,-1.879,-4.813,1.027,3.88
R,Y,R,Y,,4250,BC,White-throated Swift,British Columbia,Dh,8,-2.741,-8.113,2.222,0.605
,,,,,4250,CAL,White-throated Swift,California,Dh,101,-0.347,-2.546,1.821,3.541
,,,,,4250,COL,White-throated Swift,Colorado,Dh,47,-1.8,-4.326,0.691,2.304
Y,Y,Y,Y,,4250,IDA,White-throated Swift,Idaho,Dh,7,-0.482,-5.096,3.924,0.611
R,Y,R,Y,1,4250,MON,White-throated Swift,Montana,Dh,6,6.061,0.575,12.304,0.348
Y,Y,Y,Y,,4250,NEV,White-throated Swift,Nevada,Dh,10,-2.327,-7.393,2.375,0.78
Y,,Y,,2,4250,NM,White-throated Swift,New Mexico,Dh,29,-3.717,-7.108,-0.613,1.424
R,R,R,Y,,4250,ORE,White-throated Swift,Oregon,Dh,4,-0.36,-6.625,5.485,0.696
Y,Y,Y,,,4250,SD,White-throated Swift,South Dakota,Dh,11,-1.79,-5.953,2.207,2.541
R,Y,R,Y,,4250,TEX,White-throated Swift,Texas,Dh,9,-5.271,-13.978,0.473,0.396
,,,,,4250,UT,White-throated Swift,Utah,Dh,45,-1.862,-4.816,0.911,5.381
Y,Y,Y,Y,2,4250,WAS,White-throated Swift,Washington,Dh,7,-5.939,-11.59,-1.592,0.504
Y,,Y,,,4250,WYO,White-throated Swift,Wyoming,Dh,23,-0.413,-4.367,3.772,1.076
R,Y,R,Y,,4250,CAN,White-throated Swift,Canada,Dh,8,-2.741,-8.113,2.222,0.605
,,,,,4250,US,White-throated Swift,United States,Dh,341,-1.246,-2.452,0.011,2.23
,,,,,4250,SUR,White-throated Swift,Survey-wide,Dh,349,-1.256,-2.451,0.003,2.196
R,Y,R,Y,,4250,CA1,White-throated Swift,Canada (core),Dh,8,-2.741,-8.113,2.222,0.605
,,,,,4250,US1,White-throated Swift,United States (core),Dh,341,-1.246,-2.452,0.011,2.23
,,,,,4250,SU1,White-throated Swift,Survey-wide (core),Dh,349,-1.256,-2.451,0.003,2.196
R,R,R,R,,4260,S34,Rivoli's Hummingbird,Sierra Madre Occidental,Dh,2,0,-5.665,14.101,0.016
R,R,R,R,,4260,ARI,Rivoli's Hummingbird,Arizona,Dh,2,0,-5.665,14.101,0.016
R,R,R,R,,4260,US,Rivoli's Hummingbird,United States,Dh,2,0,-5.665,14.101,0.016
R,R,R,R,,4260,SUR,Rivoli's Hummingbird,Survey-wide,Dh,2,0,-5.665,14.101,0.016
R,R,R,R,,4260,US1,Rivoli's Hummingbird,United States (core),Dh,2,0,-5.665,14.101,0.016
